Facebook Engagement,,,,,,
,,,,,,
,,,,,,
Recent 10 posts,,,,,,
,,Follower #,,,,
Fanpage,Date,Fan Like,Like,Comment,Share ,Web visitor #
ABR,20170126,16896,62,3,7,35690
,20170206,16896,35,7,9,45295
,20170209,16896,73,12,5,35515
,20170209,16896,25,10,6,34425
,20170210,16896,19,3,7,24325
,20170210,16896,14,2,6,37620
,20170214,16896,25,8,8,33925
,20170216,16896,10,4,3,30040
,20170218,16896,53,3,8,29805
,20170220,16896,30,9,4,33500
SBR,20170125,32580,37,6,3,34465
,20170128,32580,54,7,8,72590
,20170201,32580,10,3,4,60650
,20170203,32580,26,7,4,56630
,20170206,32580,13,3,3,26045
,20170206,32580,66,12,9,61050
,20170209,32580,44,3,7,63060
,20170210,32580,38,8,5,46290
,20170214,32580,85,19,3,62665
,20170217,32580,14,1,2,24530
,,,,,,
,,,,,,
,,,,,,
